Z propeno,F in,D/F,RR,QREF    ,QCOND   ,FTOPO   ,FFUNDO  ,YETANO  ,YPROPENO,YPROPANO,YPES,XETANO  ,XPROPENO,XPROPANO,TEMPTOPO,TEMPFUND,DELTAP  
0.409611055,1296.84,0.55,3,2093040.72,-2147757.04,34648.7039,28341.6403,0.038471393,0.645099744,0.162530133,0.15389873,1.24E-11,4.83E-05,6.67E-05,315.855181,374.880037,0.1693328
0.409611055,1296.84,0.55,4,2093040.72,-2147757.04,34648.7039,28341.6403,0.038471393,0.645099744,0.162530133,0.15389873,1.24E-11,4.83E-05,6.67E-05,315.855181,374.880037,0.1693328
0.409611055,1296.84,0.65,1,2468743.66,-2551197.4,40948.4674,22049.1762,0.032552713,0.545882645,0.137565593,0.283999049,2.27E-12,8.04E-06,1.13E-05,320.859643,376.12267,0.173612
0.409611055,1296.84,0.65,1.5,2468711.87,-2551156.92,40948.469,22049.1749,0.03255271,0.545882597,0.137565579,0.283999114,2.27E-12,8.04E-06,1.13E-05,320.859172,376.122773,0.1736099
0.409611055,1296.84,0.65,1.98,2468708.84,-2551154.78,40948.469,22049.1755,0.032552709,0.545882573,0.137565574,0.283999144,2.27E-12,8.04E-06,1.13E-05,320.859158,376.122872,0.1736084
0.409611055,1296.84,0.65,2.5,2468709.01,-2551155.01,40948.4689,22049.1756,0.032552709,0.545882574,0.137565574,0.283999143,2.27E-12,8.04E-06,1.13E-05,320.85916,376.122855,0.1736085
0.409611055,1296.84,0.65,3,2468708.95,-2551154.93,40948.4689,22049.1756,0.032552709,0.545882575,0.137565574,0.283999142,2.27E-12,8.04E-06,1.13E-05,320.859159,376.122858,0.1736085
0.409611055,1296.84,0.65,4,2468708.97,-2551154.96,40948.4689,22049.1756,0.032552709,0.545882575,0.137565574,0.283999142,2.27E-12,8.04E-06,1.13E-05,320.859159,376.122857,0.1736085
0.409611055,1426.5,0.25,1,982022.77,-1090445.88,17324.0609,51945.269,0.084619966,0.759769055,0.1549836,0.000627379,5.69E-06,0.219959519,0.067602571,306.561676,349.912592,0.1592886
0.409611055,1426.5,0.25,1.5,982003.161,-1090447.06,17324.0607,51945.2686,0.084619952,0.759764866,0.154987817,0.000627365,5.70E-06,0.219960935,0.067601168,306.561697,349.912184,0.1592895
0.409611055,1426.5,0.25,1.98,982003.168,-1090447.06,17324.0607,51945.2686,0.084619952,0.759764857,0.154987825,0.000627366,5.70E-06,0.219960938,0.067601165,306.561698,349.912184,0.1592895
0.409611055,1426.5,0.25,2.5,982003.168,-1090447.06,17324.0607,51945.2686,0.084619952,0.759764857,0.154987825,0.000627366,5.70E-06,0.219960938,0.067601165,306.561698,349.912184,0.1592895
0.409611055,1426.5,0.25,3,982003.168,-1090447.06,17324.0607,51945.2686,0.084619952,0.759764857,0.154987825,0.000627366,5.70E-06,0.219960938,0.067601165,306.561698,349.912184,0.1592895
0.409611055,1426.5,0.25,4,982003.168,-1090447.06,17324.0607,51945.2686,0.084619952,0.759764857,0.154987825,0.000627366,5.70E-06,0.219960938,0.067601165,306.561698,349.912184,0.1592895
0.409611055,1426.5,0.35,1,1417263.83,-1497851.65,24253.6853,45021.1975,0.060454929,0.778172159,0.160689539,0.000683373,5.50E-08,0.126931323,0.051070736,309.103829,358.233423,0.1627619
0.409611055,1426.5,0.35,1.5,1417257.98,-1497853.48,24253.6849,45021.1977,0.060454929,0.778170338,0.160691352,0.000683381,5.52E-08,0.126932306,0.05106976,309.103845,358.23337,0.1627612
0.409611055,1426.5,0.35,1.98,1417257.99,-1497853.5,24253.6849,45021.1977,0.060454929,0.778170438,0.160691251,0.000683382,5.52E-08,0.126932252,0.051069814,309.103845,358.233372,0.1627612
0.409611055,1426.5,0.35,2.5,1417257.99,-1497853.5,24253.6849,45021.1977,0.060454929,0.778170439,0.160691251,0.000683381,5.52E-08,0.126932251,0.051069815,309.103845,358.233372,0.1627612
0.409611055,1426.5,0.35,3,1417257.99,-1497853.5,24253.6849,45021.1977,0.060454929,0.778170439,0.16069125,0.000683382,5.52E-08,0.126932251,0.051069815,309.103845,358.233372,0.1627612
0.409611055,1426.5,0.35,4,1417257.99,-1497853.5,24253.6849,45021.1977,0.060454929,0.778170439,0.16069125,0.000683382,5.52E-08,0.126932251,0.051069815,309.103845,358.233372,0.1627612
0.409611055,1426.5,0.4594,1,1907955.62,-1940438.5,31834.6941,37446.0868,0.046058469,0.766557916,0.186666389,0.000717226,4.32E-10,0.004940594,0.006786071,310.802385,372.904689,0.16659
0.409611055,1426.5,0.4594,1.5,1907953.97,-1940437.56,31834.6941,37446.0866,0.046058469,0.766555325,0.186668632,0.000717574,4.33E-10,0.004942796,0.006784164,310.80241,372.904542,0.1665876
0.409611055,1426.5,0.4594,1.98,1907953.93,-1940437.57,31834.6941,37446.0866,0.046058469,0.766555253,0.186668688,0.00071759,4.33E-10,0.004942857,0.006784117,310.802411,372.904539,0.1665874
0.409611055,1426.5,0.4594,2.5,1907953.92,-1940437.57,31834.6941,37446.0866,0.046058469,0.766555252,0.186668688,0.000717591,4.33E-10,0.004942858,0.006784116,310.802411,372.904539,0.1665874
0.409611055,1426.5,0.4594,3,1907953.92,-1940437.57,31834.6941,37446.0866,0.046058469,0.766555252,0.186668688,0.000717591,4.33E-10,0.004942858,0.006784116,310.802411,372.904539,0.1665874
